category,title,creator,publication_date,description
album,Red Cowboy,Lorena Dicki,1968,Id aliquam suscipit non.
album,Blue Volcano,Jewel Auer MD,1930,Laborum sit quas dolorum.
album,Summer Utopia,Zoe Wuckert,1962,Et expedita omnis non.
book,Green Cake,Lise Rutherford Jr.,1931,Architecto sunt facilis consequatur.
book,Evening Star,Fermina Homenick,1969,Saepe dolorum non illum.
album,Jacked Look,Ray Considine,2010,Qui et consectetur molestias.
book,Dark Coffee,Max DuBuque,1951,Eum doloremque facilis in.
album,Green Solstice,Dolores Kohler PhD,1952,Doloremque eaque sit veritatis.
book,The Captain's Java,Dennis Kuhic,1953,Laboriosam est dolorem aliquam.
book,Split Forrester,Sabra Buckridge,2008,Perspiciatis nesciunt nisi et.
album,Wake-up Symphony,Alfonzo Borer,1979,Non vel optio harum.
book,Evening Choice,Cory Gutmann,2000,Voluptatem qui dignissimos iure.
book,Blacktop Cake,Aimee Wolff,1921,Quas qui quia et.
book,Holiday Star,Pres. Suk Brekke,1937,In eaque accusantium minus.
book,Bluebery Equinox,Armand Schumm II,1949,Odio nihil placeat ducimus.
album,Goodbye Mug,Jerrold Bogisich,1979,Aliquam molestiae sed qui.
album,Major Forrester,Hilario Abbott LLD,1969,At provident ex rerum.
book,Hello America,Caleb Hettinger,1991,Deleniti similique non aut.
album,Goodbye Cowboy,Marcelo Goodwin,1984,Recusandae ad laudantium ut.
album,Morning ,Nolan Connelly DVM,1966,Aut sapiente pariatur odit.
album,Café Forrester,Nakisha Conroy,1993,Officia est et dolorem.
book,Evening Breaker,Selena Mayert,1973,Aut veritatis doloribus enim.
book,Brooklyn Light,Norman Hessel,2015,Possimus facere et culpa.
album,Street ,Luis Spinka IV,2003,Magnam vitae voluptas est.
book,Reg's Bean,Rev. Randolph Jaskolski,1929,Ducimus facere ullam ab.
